time,value
1959,315.42
1959.0833333333,316.31
1959.1666666667,316.5
1959.25,317.56
1959.3333333334,318.13
1959.4166666667,318
1959.5,316.39
1959.5833333334,314.65
1959.6666666667,313.68
1959.7500000001,313.18
1959.8333333334,314.66
1959.9166666668,315.43
1960.0000000001,316.27
1960.0833333334,316.81
1960.1666666668,317.42
1960.2500000001,318.87
1960.3333333335,319.87
1960.4166666668,319.43
1960.5000000001,318.01
1960.5833333335,315.74
1960.6666666668,314
1960.7500000002,313.68
1960.8333333335,314.84
1960.9166666668,316.03
1961.0000000002,316.73
1961.0833333335,317.54
1961.1666666669,318.38
1961.2500000002,319.31
1961.3333333335,320.42
1961.4166666669,319.61
1961.5000000002,318.42
1961.5833333336,316.63
1961.6666666669,314.83
1961.7500000002,315.16
1961.8333333336,315.94
1961.9166666669,316.85
1962.0000000003,317.78
1962.0833333336,318.4
1962.1666666669,319.53
1962.2500000003,320.42
1962.3333333336,320.85
1962.416666667,320.45
1962.5000000003,319.45
1962.5833333336,317.25
1962.666666667,316.11
1962.7500000003,315.27
1962.8333333337,316.53
1962.916666667,317.53
1963.0000000003,318.58
1963.0833333337,318.92
1963.166666667,319.7
1963.2500000004,321.22
1963.3333333337,322.08
1963.416666667,321.31
1963.5000000004,319.58
1963.5833333337,317.61
1963.6666666671,316.05
1963.7500000004,315.83
1963.8333333338,316.91
1963.9166666671,318.2
1964.0000000004,319.41
1964.0833333338,320.07
1964.1666666671,320.74
1964.2500000005,321.4
1964.3333333338,322.06
1964.4166666671,321.73
1964.5000000005,320.27
1964.5833333338,318.54
1964.6666666672,316.54
1964.7500000005,316.71
1964.8333333338,317.53
1964.9166666672,318.55
1965.0000000005,319.27
1965.0833333339,320.28
1965.1666666672,320.73
1965.2500000005,321.97
1965.3333333339,322
1965.4166666672,321.71
1965.5000000006,321.05
1965.5833333339,318.71
1965.6666666672,317.66
1965.7500000006,317.14
1965.8333333339,318.7
1965.9166666673,319.25
1966.0000000006,320.46
1966.0833333339,321.43
1966.1666666673,322.23
1966.2500000006,323.54
1966.333333334,323.91
1966.4166666673,323.59
1966.5000000006,322.24
1966.583333334,320.2
1966.6666666673,318.48
1966.7500000007,317.94
1966.833333334,319.63
1966.9166666673,320.87
1967.0000000007,322.17
1967.083333334,322.34
1967.1666666674,322.88
1967.2500000007,324.25
1967.3333333341,324.83
1967.4166666674,323.93
1967.5000000007,322.38
1967.5833333341,320.76
1967.6666666674,319.1
1967.7500000008,319.24
1967.8333333341,320.56
1967.9166666674,321.8
1968.0000000008,322.4
1968.0833333341,322.99
1968.1666666675,323.73
1968.2500000008,324.86
1968.3333333341,325.4
1968.4166666675,325.2
1968.5000000008,323.98
1968.5833333342,321.95
1968.6666666675,320.18
1968.7500000008,320.09
1968.8333333342,321.16
1968.9166666675,322.74
1969.0000000009,323.83
1969.0833333342,324.26
1969.1666666675,325.47
1969.2500000009,326.5
1969.3333333342,327.21
1969.4166666676,326.54
1969.5000000009,325.72
1969.5833333342,323.5
1969.6666666676,322.22
1969.7500000009,321.62
1969.8333333343,322.69
1969.9166666676,323.95
1970.0000000009,324.89
1970.0833333343,325.82
1970.1666666676,326.77
1970.250000001,327.97
1970.3333333343,327.91
1970.4166666676,327.5
1970.500000001,326.18
1970.5833333343,324.53
1970.6666666677,322.93
1970.750000001,322.9
1970.8333333344,323.85
1970.9166666677,324.96
1971.000000001,326.01
1971.0833333344,326.51
1971.1666666677,327.01
1971.2500000011,327.62
1971.3333333344,328.76
1971.4166666677,328.4
1971.5000000011,327.2
1971.5833333344,325.27
1971.6666666678,323.2
1971.7500000011,323.4
1971.8333333344,324.63
1971.9166666678,325.85
1972.0000000011,326.6
1972.0833333345,327.47
1972.1666666678,327.58
1972.2500000011,329.56
1972.3333333345,329.9
1972.4166666678,328.92
1972.5000000012,327.88
1972.5833333345,326.16
1972.6666666678,324.68
1972.7500000012,325.04
1972.8333333345,326.34
1972.9166666679,327.39
1973.0000000012,328.37
1973.0833333345,329.4
1973.1666666679,330.14
1973.2500000012,331.33
1973.3333333346,332.31
1973.4166666679,331.9
1973.5000000012,330.7
1973.5833333346,329.15
1973.6666666679,327.35
1973.7500000013,327.02
1973.8333333346,327.99
1973.9166666679,328.48
1974.0000000013,329.18
1974.0833333346,330.55
1974.166666668,331.32
1974.2500000013,332.48
1974.3333333347,332.92
1974.416666668,332.08
1974.5000000013,331.01
1974.5833333347,329.23
1974.666666668,327.27
1974.7500000014,327.21
1974.8333333347,328.29
1974.916666668,329.41
1975.0000000014,330.23
1975.0833333347,331.25
1975.1666666681,331.87
1975.2500000014,333.14
1975.3333333347,333.8
1975.4166666681,333.43
1975.5000000014,331.73
1975.5833333348,329.9
1975.6666666681,328.4
1975.7500000014,328.17
1975.8333333348,329.32
1975.9166666681,330.59
1976.0000000015,331.58
1976.0833333348,332.39
1976.1666666681,333.33
1976.2500000015,334.41
1976.3333333348,334.71
1976.4166666682,334.17
1976.5000000015,332.89
1976.5833333348,330.77
1976.6666666682,329.14
1976.7500000015,328.78
1976.8333333349,330.14
1976.9166666682,331.52
1977.0000000015,332.75
1977.0833333349,333.24
1977.1666666682,334.53
1977.2500000016,335.9
1977.3333333349,336.57
1977.4166666682,336.1
1977.5000000016,334.76
1977.5833333349,332.59
1977.6666666683,331.42
1977.7500000016,330.98
1977.833333335,332.24
1977.9166666683,333.68
1978.0000000016,334.8
1978.083333335,335.22
1978.1666666683,336.47
1978.2500000017,337.59
1978.333333335,337.84
1978.4166666683,337.72
1978.5000000017,336.37
1978.583333335,334.51
1978.6666666684,332.6
1978.7500000017,332.38
1978.833333335,333.75
1978.9166666684,334.78
1979.0000000017,336.05
1979.0833333351,336.59
1979.1666666684,337.79
1979.2500000017,338.71
1979.3333333351,339.3
1979.4166666684,339.12
1979.5000000018,337.56
1979.5833333351,335.92
1979.6666666684,333.75
1979.7500000018,333.7
1979.8333333351,335.12
1979.9166666685,336.56
1980.0000000018,337.84
1980.0833333351,338.19
1980.1666666685,339.91
1980.2500000018,340.6
1980.3333333352,341.29
1980.4166666685,341
1980.5000000018,339.39
1980.5833333352,337.43
1980.6666666685,335.72
1980.7500000019,335.84
1980.8333333352,336.93
1980.9166666685,338.04
1981.0000000019,339.06
1981.0833333352,340.3
1981.1666666686,341.21
1981.2500000019,342.33
1981.3333333353,342.74
1981.4166666686,342.08
1981.5000000019,340.32
1981.5833333353,338.26
1981.6666666686,336.52
1981.750000002,336.68
1981.8333333353,338.19
1981.9166666686,339.44
1982.000000002,340.57
1982.0833333353,341.44
1982.1666666687,342.53
1982.250000002,343.39
1982.3333333353,343.96
1982.4166666687,343.18
1982.500000002,341.88
1982.5833333354,339.65
1982.6666666687,337.81
1982.750000002,337.69
1982.8333333354,339.09
1982.9166666687,340.32
1983.0000000021,341.2
1983.0833333354,342.35
1983.1666666687,342.93
1983.2500000021,344.77
1983.3333333354,345.58
1983.4166666688,345.14
1983.5000000021,343.81
1983.5833333354,342.21
1983.6666666688,339.69
1983.7500000021,339.82
1983.8333333355,340.98
1983.9166666688,342.82
1984.0000000021,343.52
1984.0833333355,344.33
1984.1666666688,345.11
1984.2500000022,346.88
1984.3333333355,347.25
1984.4166666688,346.62
1984.5000000022,345.22
1984.5833333355,343.11
1984.6666666689,340.9
1984.7500000022,341.18
1984.8333333356,342.8
1984.9166666689,344.04
1985.0000000022,344.79
1985.0833333356,345.82
1985.1666666689,347.25
1985.2500000023,348.17
1985.3333333356,348.74
1985.4166666689,348.07
1985.5000000023,346.38
1985.5833333356,344.51
1985.666666669,342.92
1985.7500000023,342.62
1985.8333333356,344.06
1985.916666669,345.38
1986.0000000023,346.11
1986.0833333357,346.78
1986.166666669,347.68
1986.2500000023,349.37
1986.3333333357,350.03
1986.416666669,349.37
1986.5000000024,347.76
1986.5833333357,345.73
1986.666666669,344.68
1986.7500000024,343.99
1986.8333333357,345.48
1986.9166666691,346.72
1987.0000000024,347.84
1987.0833333357,348.29
1987.1666666691,349.23
1987.2500000024,350.8
1987.3333333358,351.66
1987.4166666691,351.07
1987.5000000024,349.33
1987.5833333358,347.92
1987.6666666691,346.27
1987.7500000025,346.18
1987.8333333358,347.64
1987.9166666691,348.78
1988.0000000025,350.25
1988.0833333358,351.54
1988.1666666692,352.05
1988.2500000025,353.41
1988.3333333359,354.04
1988.4166666692,353.62
1988.5000000025,352.22
1988.5833333359,350.27
1988.6666666692,348.55
1988.7500000026,348.72
1988.8333333359,349.91
1988.9166666692,351.18
1989.0000000026,352.6
1989.0833333359,352.92
1989.1666666693,353.53
1989.2500000026,355.26
1989.3333333359,355.52
1989.4166666693,354.97
1989.5000000026,353.75
1989.583333336,351.52
1989.6666666693,349.64
1989.7500000026,349.83
1989.833333336,351.14
1989.9166666693,352.37
1990.0000000027,353.5
1990.083333336,354.55
1990.1666666693,355.23
1990.2500000027,356.04
1990.333333336,357
1990.4166666694,356.07
1990.5000000027,354.67
1990.583333336,352.76
1990.6666666694,350.82
1990.7500000027,351.04
1990.8333333361,352.69
1990.9166666694,354.07
1991.0000000027,354.59
1991.0833333361,355.63
1991.1666666694,357.03
1991.2500000028,358.48
1991.3333333361,359.22
1991.4166666694,358.12
1991.5000000028,356.06
1991.5833333361,353.92
1991.6666666695,352.05
1991.7500000028,352.11
1991.8333333362,353.64
1991.9166666695,354.89
1992.0000000028,355.88
1992.0833333362,356.63
1992.1666666695,357.72
1992.2500000029,359.07
1992.3333333362,359.58
1992.4166666695,359.17
1992.5000000029,356.94
1992.5833333362,354.92
1992.6666666696,352.94
1992.7500000029,353.23
1992.8333333362,354.09
1992.9166666696,355.33
1993.0000000029,356.63
1993.0833333363,357.1
1993.1666666696,358.32
1993.2500000029,359.41
1993.3333333363,360.23
1993.4166666696,359.55
1993.500000003,357.53
1993.5833333363,355.48
1993.6666666696,353.67
1993.750000003,353.95
1993.8333333363,355.3
1993.9166666697,356.78
1994.000000003,358.34
1994.0833333363,358.89
1994.1666666697,359.95
1994.250000003,361.25
1994.3333333364,361.67
1994.4166666697,360.94
1994.500000003,359.55
1994.5833333364,357.49
1994.6666666697,355.84
1994.7500000031,356
1994.8333333364,357.59
1994.9166666697,359.05
1995.0000000031,359.98
1995.0833333364,361.03
1995.1666666698,361.66
1995.2500000031,363.48
1995.3333333365,363.82
1995.4166666698,363.3
1995.5000000031,361.94
1995.5833333365,359.5
1995.6666666698,358.11
1995.7500000032,357.8
1995.8333333365,359.61
1995.9166666698,360.74
1996.0000000032,362.09
1996.0833333365,363.29
1996.1666666699,364.06
1996.2500000032,364.76
1996.3333333365,365.45
1996.4166666699,365.01
1996.5000000032,363.7
1996.5833333366,361.54
1996.6666666699,359.51
1996.7500000032,359.65
1996.8333333366,360.8
1996.9166666699,362.38
1997.0000000033,363.23
1997.0833333366,364.06
1997.1666666699,364.61
1997.2500000033,366.4
1997.3333333366,366.84
1997.41666667,365.68
1997.5000000033,364.52
1997.5833333366,362.57
1997.66666667,360.24
1997.7500000033,360.83
1997.8333333367,362.49
1997.91666667,364.34
