Bundesland,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Baden-WÃ¼rttemberg,12302,11610,12297,13291,13491,12811,13304,13767,15007,15231,14783,14595,14243,14566,14534,14221,14374
Bayern,13010,14304,13599,13761,14398,13708,14071,13904,13573,12600,13012,13722,14355,14840,15540,15346,15867
Berlin,1242,1228,1099,1109,1016,878,963,1027,932,975,919,812,857,898,869,840,831
Brandenburg,398,399,379,408,361,315,428,393,362,365,323,351,299,322,326,359,331
Bremen,164,198,143,158,185,178,147,183,146,162,163,153,150,160,143,158,143
Hamburg,1185,1427,1166,955,1105,917,948,1008,1093,932,914,1012,761,742,807,806,790
Hessen,4688,4159,4113,4004,4186,3437,3237,3008,2669,2448,2431,2374,2295,2165,2042,1906,1939
Mecklenburg-Vorpommern,206,183,194,243,218,200,182,175,184,196,170,167,180,181,169,155,105
Niedersachsen,3427,3200,2861,2893,2968,2711,2602,2749,3337,2910,2927,2987,2958,2927,3138,3486,3699
Nordrhein-Westfalen,10274,9929,9117,8975,8872,8152,8189,8324,7814,7333,7536,7103,6764,7073,7119,6877,7068
Rheinland-Pfalz,2341,2535,2591,2677,2719,2218,1331,1262,1296,1259,1233,1183,1129,1036,1032,938,1076
Saarland,351,358,342,332,368,360,311,331,295,304,258,251,249,252,222,214,197
Sachsen,1000,933,873,859,850,856,814,950,1013,1115,1124,1049,1057,968,966,905,810
Sachsen-Anhalt,447,408,375,492,414,368,344,338,367,310,335,310,247,228,227,200,228
Schleswig-Holstein,678,679,607,627,660,598,586,624,594,567,562,486,516,465,462,463,497
Thuringen,734,796,748,849,789,711,650,616,625,623,590,565,594,536,559,514,519
Insgesamt,52447,52346,50504,51633,52600,48418,48107,48659,49307,47330,47280,47120,46654,47359,48155,47388,48474
